# id	left	top	right	bottom	texture_id
[SPRITES]
#-----------------BRICK-------------------
20001	372	153	387	168	20
#-----------------COIN--------------------
40001	999	298	1045	348	20
40002	1056	298	1104	348	20
40003	1105	298	1163	348	20
#-----------------GOOMBA------------------
#WALK
31001	25	31	76	82	10
31002	94	31	145	82	10

#DIE
32001	160	52	211	82	10

#DROP
33001	897	1023	945	1071	50

#-----------------KOOPAS------------------
30001	82	196	133	280	10
30002	139	196	190	280	10
30007	782	196	831	280	30
30008	839	196	888	280	30
#die					
30003	85	289	136	340	10
30004	148	289	199	340	10
30005	211	289	262	340	10
30006	210	222	269	275	10

#-------------QUESTIONBRICK----------------
70001	472	563	520	613	20
70002	528	563	576	613	20
70003	588	563	636	613	20
70004	645	563	693	613	20
70005	705	563	753	613	20

#----------------COINBRICK-----------------
71001	870	298	918	348	20
71002	910	298	958	348	20
71003	945	298	993	348	20

#-----------REDVENUSFIRETRAP---------------
#down_left					
80001	660	199	708	295	10
80002	708	199	756	295	10
#up_left					
80003	756	199	804	295	10
80004	804	199	852	295	10
#down_right					
80005	263	199	312	295	30
80006	216	199	264	295	30
#up_right					
80007	168	199	215	295	30
80008	119	199	168	295	30

#----------GREENVENUSFIRETRAP--------------
#down_left					
82010	660	103	708	199	10
82011	708	103	756	199	10
#up_left					
82012	756	103	804	199	10
82013	804	103	852	199	10
#down_right					
82014	263	103	312	199	30
82015	216	103	264	199	30
#up_right					
82016	168	103	215	199	30
82017	119	103	168	199	30

#-----------------FIREBALL------------------
11001	0	0	25	26	40
11002	33	0	57	26	40
11003	66	0	91	26	40
11004	97	0	122	26	40	

#-----------------MUSHROOM------------------
12001	468	361	516	412	20

#-----------------LEAF----------------------
130001	539	368	588	411	20
130002	699	368	747	411	60

#---------------PARAGOOMBA------------------
#FLY
61001	196	102	259	179	10
61002	268	102	331	179	10
#WALK					
61003	346	118	410	179	10
61004	418	118	482	179	10
#LV1					
61005	310	207	362	259	10
61006	372	207	424	259	10
#DIE					
61007	433	229	485	259	10
#DROP
61008	549	846	597	894	50

#---------------PARAKOOPAS------------------
#FLY
81001	313	384	364	468	10
81002	376	384	427	468	10
81003	439	384	491	468	10
81004	609	384	657	468	30
81005	546	384	594	468	30
81006	483	384	531	468	30
#WALK					
81007	92	356	141	435	10
81008	149	356	198	435	10
81009	772	356	822	435	30
81010	830	356	879	435	30
#DIE					
81011	94	444	145	497	10
81012	157	444	208	497	10
81013	219	444	272	497	10
81014	220	378	278	431	10

#-----------------PIRANHA------------------
60120	563	102	612	198	10
60121	612	102	660	198	10

#---------------MARI0----------------------
#####  BIG ###############
#IDLE
11121	3108	142	3152	224	0
11111	1886	142	1930	224	0

#WALKING RIGHT
11222	3160	142	3211	224	0
11223	3217	142	3268	224	0

#WALKING LEFT
11212	1829	142	1878	224	0
11213	1773	142	1822	224	0

#RUNNING RIGHT
11321	3160	142	3211	224	0
11322	3217	142	3268	224	0
11323	3388	142	3448	224	0

#RUNNING LEFT
11311	1829	142	1878	224	0
11312	1773	142	1822	224	0
11313	1591	142	1651	224	0

#JUMP WALK RIGHT & LEFT
11417	3330	142	3383	224	0
11413	1655	142	1708	224	0

#JUMP RUN RIGHT & LEFT
11427	4120	142	4180	224	0
11423	858	142	920	224	0

#SIT RIGHT & LEFT 
11521	3656	171	3700	224	0
11511	1340	171	1384	224	0

#BRACE RIGHT & LEFT 
11621	3274	142	3326	224	0
11611	1713	142	1765	224	0

#KICK RIGHT & LEFT 
11721	993	142	1056	224	0
11711	3983	142	4048	224	0

#DIE
13001	1224	25	1271	71	0

#IDLE PICK UP SHELL				
13100	1176	142	1218	224	0
13101	3822	142	3864	224	0

#RUN PICK UP SHELL					
13200	1122	142	1167	224	0
13201	3873	142	3918	224	0

#JUMP PICK UP SHELL				
13300	1065	142	1113	224	0
13301	3927	142	3975	224	0

#FRONT PICK UP SHELL
13400	1226	142	1276	224	0

############ SMALL ################
 #IDLE
121211	3280	25	3319	71	0
121111	1720	25	1760	71	0

#WALK RIGHT
12222	3324	25	3374	71	0
12223	3324	25	3374	71	0

#WALK LEFT
12212	1665	25	1715	71	0
12213	1665	25	1715	71	0

#RUN RIGHT
12321	3324	25	3374	71	0
12322	3324	25	3374	71	0
12323	3487	25	3536	71	0

#RUN LEFT
12311	1665	25	1715	71	0
12312	1665	25	1715	71	0
12313	1500	25	1553	71	0

#BRACE RIGHT & LEFT
12511	1613	25	1661	71	0
12521	3378	25	3424	71	0

#KICK RIGHT & LEFT
12611	1062	25	1110	71	0
12621	3928	25	3978	71	0

#JUMP WALK RIGHT & LEFT 
12413	1557	25	1610	71	0
12417	3429	25	3480	71	0

#JUMP RUN RIGHT & LEFT 
12423	946	25	998	71	0
12427	4041	25	4093	71	0

#IDLE PICK UP SHELL
12431	1173	25	1212	71	0
12432	3823	25	3868	71	0

#RUN + JUMP PICK UP SHELL
12433	1119	25	1164	71	0
12434	3875	25	3921	71	0

#FRONT PICK UP SHELL
12435	1280	25	1330	71	0

########### RACCOON MARIO ##############					
#idle					
14001	2217	426	2280	510	0
14021	2759	426	2820	510	0
#walk					
14002	2142	426	2208	510	0
14003	2064	426	2133	510	0
14022	2830	426	2900	510	0
14033	2905	426	2977	510	0
#sit
14004	887	456	954	510	0					
14044	4086	456	4153	510	0
#jump					
14005	1678	426	1749	510	0
14055	3290	426	3366	510	0
#drop					
14006	1602	426	1671	510	0
14007	1524	426	1593	510	0
14008	1449	426	1515	510	0
14066	3367	426	3439	510	0
14077	3447	426	3516	510	0
14088	3524	426	3591	510	0
#run-pre-fly					
14009	1368	426	1440	510	0
14010	1287	426	1359	510	0
14011	1206	426	1278	510	0
14099	3600	426	3672	510	0
14110	3680	426	3753	510	0
14111	3761	426	3834	510	0
#fly					
14012	1125	426	1197	510	0
14013	1044	426	1116	510	0
14014	963	426	1035	510	0
14112	3842	426	3915	510	0
14113	3922	426	3997	510	0
14114	4003	426	4087	510	0
#brace					
14015	2007	422	2055	510	0
14115	2983	422	3033	510	0
#spin					
14016	2191	320	2287	405	0
14017	2191	219	2287	304	0
14018	2191	112	2287	197	0
14116	2752	320	2820	405	0
14117	2781	219	2829	304	0
14118	2779	112	2850	197	0
#kick					
14019	531	426	598	510	0
14119	4442	426	4510	510	0

#idle					
14220	759	426	823	510	0
14120	4218	426	4281	510	0
#run					
14221	684	426	751	510	0
14121	4290	426	4356	510	0
#jump					
14222	606	426	676	510	0
14122	4365	426	4434	510	0
#front
14223	3042	426	3090	510	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#-----------------BRICK-------------------
11000	40001	300	40002	300	40003	300

#-----------------COIN--------------------
10000	20001	1000

#-----------------GOOMBA------------------
5000	31001	100	31002	100

5001	32001	100

5002	33001	100
#-------------QUESTIONBRICK----------------
7000	70001	200	70001	200	70002	200	70003	200
7001	70005	100

#-----------------COINBRICK----------------
7100	71001	100	71002	100	71003	100

#-----------REDVENUSFIRETRAP---------------
#down_left
8011	80001	100	80002	100
#up_left
802	80003	100	80004	100
#shoot down_left
803	80001	100
#shoot up_left
804	80003	100
#down_right
805	80005	100	80006	100
#up_right
806	80007	100	80008	100
#shoot down_right
807	80005	100
#shoot up_right
808	80007	100

#--------------GREENVENUSFIRETRAP-----------

#down_left
810	82010	100	82011	100
#up_left
811	82012	100	82013	100
#shoot down_left
812	82010	100
#shoot up_left
813	82012	100
#down_right
814	82014	100	82015	100
#up_right
815	82016	100	82017	100
#shoot down_right
816	82014	100
#shoot up_right
817	82016	100

#--------------KOOPAS---------------------
301	30001	100	30002	100
302	30007	100	30008	100
303	30003	100
304	30003	100	30004	100	30005	100
305	30003	50	30006	50

#--------------MUSHROOM--------------------
120	12001	100

#--------------LEAF-------------------------
130	130001	100
131	130002	100

#-------------PARAGOOMBA--------------------
6000	61003	100	61004	100
6001	61007	100
6002	61005	100	61006	100
6003	61001	100	61002	100
6004	61008	100

#-------------PARAKOOPAS--------------------
8100	81001	100	81002	100	81003	100
8101	81004	100	81005	100	81006	100
8102	81007	100	81008	100
8103	81009	100	81010	100
8104	81011	100
8105	81011	100	81012	100	81013	100
8106	81011	100	81014	100
#---------------MARI0----------------------

################### SMALL #################
1100	121211	100
1102	121111	100


#WALK LEFT & RIGHT 
1200	121211	100	12222	100	12223	100
1201	121111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#KICK
1700	12611	100
1701	12621	100

#IDLE PICK UP SHELL
18000	12431	100
18010	12432	100

#WALK PICK UP SHELL
19000	12431	100	12433	100
19010	12432	100	12434	100

#JUMP PICK UP SHELL
20000	12433	100
20010	12434	100

#FRONT PICK UP SHELL
21000	12435	100
 
################## BIG ######################
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

#KICK RIGHT & LEFT
1110	11721	100
1101	11711	100

#IDLE PICK UP SHELL
12000	13100	100
12010	13101	100

#WALK PICK UP SHELL
13000	13100	100	13200	100
13010	13101	100	13201	100

#JUMP PICK UP SHELL
14000	13300	100
14010	13301	100

#FRONT PICK UP SHELL
15000	13400	100

################### RACCOON #################
#idle
160	14001	100
1160	14021	100
#walk
161	14001	100	14002	100	14003	100
1161	14021	100	14022	100	14033	100
#sit
162	14004	100
1162	14044	100
#jump
163	14005	100
1163	14055	100
#run
164	14001	30	14002	30	14003	30
1164	14021	30	14022	30	14033	30
#drop
165	14006	40	14007	40	14008	40
1165	14066	40	14077	40	14088	40
#pre-fly
166	14009	30	14010	30	14011	30
1166	14099	30	14110	30	14111	30
#fly
167	14012	100	14013	100	14014	100
1167	14112	100	14113	100	14114	100
#brace
168	14015	100
1168	14115	100
#spin
169	14016	70	14017	70	14018	70
1169	14116	70	14117	70	14118	70
#kick
170	14019	1000
1170	14119	1000
#IDLE PICK UP SHELL
